Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:	-32.81944444444434	1.3263888888888888
Calibration Channels:	410	986
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	60.12
Elapsed Live Time:	60.0
Start Time:	October 11, 2021, 02:36:01
End Time:	October 11, 2021, 02:37:02
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	15	32	1124	619	7	21
2	59	75	1011	75	6	66
3	267	308	929	424	20	285

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	0
6	6.0	9
7	7.0	5
8	8.0	5
9	9.0	13
10	10.0	13
11	11.0	10
12	12.0	17
13	13.0	18
14	14.0	28
15	15.0	35
16	16.0	31
17	17.0	67
18	18.0	95
19	19.0	112
20	20.0	120
21	21.0	121
22	22.0	102
23	23.0	113
24	24.0	68
25	25.0	70
26	26.0	46
27	27.0	25
28	28.0	27
29	29.0	23
30	30.0	28
31	31.0	23
32	32.0	18
33	33.0	39
34	34.0	28
35	35.0	36
36	36.0	28
37	37.0	33
38	38.0	33
39	39.0	35
40	40.0	33
41	41.0	40
42	42.0	35
43	43.0	38
44	44.0	56
45	45.0	60
46	46.0	49
47	47.0	66
48	48.0	62
49	49.0	78
50	50.0	82
51	51.0	87
52	52.0	79
53	53.0	70
54	54.0	91
55	55.0	70
56	56.0	64
57	57.0	52
58	58.0	66
59	59.0	63
60	60.0	56
61	61.0	46
62	62.0	54
63	63.0	67
64	64.0	63
65	65.0	68
66	66.0	70
67	67.0	72
68	68.0	83
69	69.0	65
70	70.0	60
71	71.0	52
72	72.0	53
73	73.0	41
74	74.0	46
75	75.0	52
76	76.0	54
77	77.0	49
78	78.0	55
79	79.0	58
80	80.0	61
81	81.0	58
82	82.0	56
83	83.0	50
84	84.0	43
85	85.0	59
86	86.0	60
87	87.0	60
88	88.0	63
89	89.0	55
90	90.0	62
91	91.0	63
92	92.0	41
93	93.0	46
94	94.0	53
95	95.0	55
96	96.0	48
97	97.0	66
98	98.0	44
99	99.0	42
100	100.0	58
101	101.0	60
102	102.0	64
103	103.0	41
104	104.0	61
105	105.0	51
106	106.0	66
107	107.0	54
108	108.0	75
109	109.0	65
110	110.0	64
111	111.0	68
112	112.0	73
113	113.0	66
114	114.0	88
115	115.0	54
116	116.0	70
117	117.0	71
118	118.0	66
119	119.0	84
120	120.0	70
121	121.0	86
122	122.0	89
123	123.0	67
124	124.0	82
125	125.0	85
126	126.0	81
127	127.0	68
128	128.0	61
129	129.0	52
130	130.0	54
131	131.0	50
132	132.0	59
133	133.0	47
134	134.0	58
135	135.0	56
136	136.0	38
137	137.0	40
138	138.0	38
139	139.0	37
140	140.0	44
141	141.0	32
142	142.0	39
143	143.0	27
144	144.0	34
145	145.0	27
146	146.0	18
147	147.0	18
148	148.0	15
149	149.0	24
150	150.0	34
151	151.0	28
152	152.0	27
153	153.0	19
154	154.0	26
155	155.0	29
156	156.0	23
157	157.0	35
158	158.0	24
159	159.0	19
160	160.0	9
161	161.0	24
162	162.0	20
163	163.0	15
164	164.0	26
165	165.0	25
166	166.0	20
167	167.0	19
168	168.0	15
169	169.0	16
170	170.0	20
171	171.0	15
172	172.0	23
173	173.0	19
174	174.0	25
175	175.0	18
176	176.0	11
177	177.0	16
178	178.0	15
179	179.0	12
180	180.0	16
181	181.0	16
182	182.0	12
183	183.0	9
184	184.0	13
185	185.0	22
186	186.0	10
187	187.0	14
188	188.0	13
189	189.0	14
190	190.0	16
191	191.0	13
192	192.0	12
193	193.0	13
194	194.0	18
195	195.0	16
196	196.0	14
197	197.0	11
198	198.0	14
199	199.0	9
200	200.0	9
201	201.0	16
202	202.0	14
203	203.0	12
204	204.0	17
205	205.0	7
206	206.0	18
207	207.0	11
208	208.0	11
209	209.0	10
210	210.0	10
211	211.0	17
212	212.0	15
213	213.0	22
214	214.0	12
215	215.0	19
216	216.0	15
217	217.0	20
218	218.0	16
219	219.0	6
220	220.0	24
221	221.0	19
222	222.0	23
223	223.0	19
224	224.0	13
225	225.0	25
226	226.0	18
227	227.0	23
228	228.0	21
229	229.0	14
230	230.0	22
231	231.0	18
232	232.0	18
233	233.0	19
234	234.0	22
235	235.0	14
236	236.0	17
237	237.0	18
238	238.0	23
239	239.0	25
240	240.0	19
241	241.0	18
242	242.0	23
243	243.0	17
244	244.0	16
245	245.0	18
246	246.0	27
247	247.0	13
248	248.0	14
249	249.0	16
250	250.0	11
251	251.0	11
252	252.0	14
253	253.0	23
254	254.0	16
255	255.0	15
256	256.0	10
257	257.0	18
258	258.0	13
259	259.0	11
260	260.0	17
261	261.0	13
262	262.0	13
263	263.0	11
264	264.0	13
265	265.0	10
266	266.0	18
267	267.0	17
268	268.0	19
269	269.0	11
270	270.0	19
271	271.0	19
272	272.0	19
273	273.0	20
274	274.0	21
275	275.0	32
276	276.0	27
277	277.0	28
278	278.0	29
279	279.0	39
280	280.0	33
281	281.0	28
282	282.0	38
283	283.0	40
284	284.0	33
285	285.0	34
286	286.0	25
287	287.0	27
288	288.0	28
289	289.0	34
290	290.0	25
291	291.0	29
292	292.0	25
293	293.0	26
294	294.0	18
295	295.0	18
296	296.0	16
297	297.0	22
298	298.0	18
299	299.0	18
300	300.0	15
301	301.0	13
302	302.0	15
303	303.0	11
304	304.0	10
305	305.0	9
306	306.0	13
307	307.0	5
308	308.0	3
309	309.0	15
310	310.0	2
311	311.0	7
312	312.0	7
313	313.0	7
314	314.0	3
315	315.0	4
316	316.0	5
317	317.0	6
318	318.0	6
319	319.0	3
320	320.0	3
321	321.0	1
322	322.0	4
323	323.0	2
324	324.0	1
325	325.0	1
326	326.0	5
327	327.0	4
328	328.0	1
329	329.0	0
330	330.0	3
331	331.0	1
332	332.0	2
333	333.0	3
334	334.0	0
335	335.0	3
336	336.0	0
337	337.0	2
338	338.0	1
339	339.0	1
340	340.0	1
341	341.0	2
342	342.0	0
343	343.0	1
344	344.0	1
345	345.0	1
346	346.0	1
347	347.0	2
348	348.0	2
349	349.0	1
350	350.0	0
351	351.0	0
352	352.0	1
353	353.0	0
354	354.0	0
355	355.0	3
356	356.0	2
357	357.0	1
358	358.0	1
359	359.0	0
360	360.0	1
361	361.0	1
362	362.0	2
363	363.0	1
364	364.0	0
365	365.0	2
366	366.0	1
367	367.0	3
368	368.0	0
369	369.0	0
370	370.0	1
371	371.0	1
372	372.0	0
373	373.0	2
374	374.0	0
375	375.0	1
376	376.0	0
377	377.0	2
378	378.0	1
379	379.0	1
380	380.0	0
381	381.0	3
382	382.0	0
383	383.0	0
384	384.0	0
385	385.0	1
386	386.0	1
387	387.0	0
388	388.0	3
389	389.0	4
390	390.0	1
391	391.0	1
392	392.0	0
393	393.0	0
394	394.0	1
395	395.0	1
396	396.0	0
397	397.0	3
398	398.0	1
399	399.0	1
400	400.0	1
401	401.0	1
402	402.0	0
403	403.0	0
404	404.0	2
405	405.0	0
406	406.0	0
407	407.0	5
408	408.0	1
409	409.0	2
410	410.0	0
411	411.0	2
412	412.0	1
413	413.0	1
414	414.0	0
415	415.0	0
416	416.0	1
417	417.0	0
418	418.0	0
419	419.0	0
420	420.0	1
421	421.0	1
422	422.0	1
423	423.0	1
424	424.0	2
425	425.0	1
426	426.0	1
427	427.0	0
428	428.0	0
429	429.0	1
430	430.0	0
431	431.0	2
432	432.0	2
433	433.0	2
434	434.0	0
435	435.0	0
436	436.0	0
437	437.0	0
438	438.0	1
439	439.0	0
440	440.0	2
441	441.0	0
442	442.0	1
443	443.0	0
444	444.0	0
445	445.0	1
446	446.0	2
447	447.0	1
448	448.0	0
449	449.0	2
450	450.0	0
451	451.0	1
452	452.0	0
453	453.0	1
454	454.0	2
455	455.0	0
456	456.0	2
457	457.0	0
458	458.0	1
459	459.0	0
460	460.0	1
461	461.0	0
462	462.0	0
463	463.0	1
464	464.0	0
465	465.0	0
466	466.0	2
467	467.0	1
468	468.0	2
469	469.0	0
470	470.0	0
471	471.0	1
472	472.0	1
473	473.0	0
474	474.0	1
475	475.0	2
476	476.0	0
477	477.0	1
478	478.0	0
479	479.0	1
480	480.0	1
481	481.0	1
482	482.0	0
483	483.0	0
484	484.0	0
485	485.0	1
486	486.0	2
487	487.0	2
488	488.0	0
489	489.0	2
490	490.0	0
491	491.0	2
492	492.0	1
493	493.0	1
494	494.0	1
495	495.0	0
496	496.0	0
497	497.0	0
498	498.0	0
499	499.0	2
500	500.0	0
501	501.0	1
502	502.0	2
503	503.0	1
504	504.0	1
505	505.0	0
506	506.0	1
507	507.0	0
508	508.0	1
509	509.0	1
510	510.0	0
511	511.0	1
512	512.0	1
513	513.0	1
514	514.0	1
515	515.0	0
516	516.0	0
517	517.0	1
518	518.0	3
519	519.0	0
520	520.0	0
521	521.0	0
522	522.0	0
523	523.0	0
524	524.0	0
525	525.0	1
526	526.0	1
527	527.0	2
528	528.0	2
529	529.0	0
530	530.0	2
531	531.0	1
532	532.0	1
533	533.0	0
534	534.0	1
535	535.0	0
536	536.0	0
537	537.0	5
538	538.0	1
539	539.0	1
540	540.0	1
541	541.0	0
542	542.0	0
543	543.0	0
544	544.0	0
545	545.0	0
546	546.0	2
547	547.0	0
548	548.0	0
549	549.0	1
550	550.0	0
551	551.0	1
552	552.0	0
553	553.0	0
554	554.0	0
555	555.0	0
556	556.0	0
557	557.0	0
558	558.0	1
559	559.0	0
560	560.0	2
561	561.0	0
562	562.0	0
563	563.0	1
564	564.0	0
565	565.0	0
566	566.0	1
567	567.0	1
568	568.0	0
569	569.0	0
570	570.0	0
571	571.0	1
572	572.0	1
573	573.0	0
574	574.0	1
575	575.0	1
576	576.0	0
577	577.0	1
578	578.0	0
579	579.0	2
580	580.0	0
581	581.0	0
582	582.0	0
583	583.0	1
584	584.0	0
585	585.0	0
586	586.0	0
587	587.0	0
588	588.0	0
589	589.0	0
590	590.0	0
591	591.0	0
592	592.0	0
593	593.0	0
594	594.0	0
595	595.0	0
