Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:	-32.81944444444434	1.3263888888888888
Calibration Channels:	410	986
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	60.03
Elapsed Live Time:	60.0
Start Time:	October 11, 2021, 03:10:18
End Time:	October 11, 2021, 03:11:19
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	15	32	122	32	4	23
2	59	75	358	51	6	66
3	267	308	111	70	2	286

Channel Data:
Channel	Energy	Counts
0	0.0	0
1	1.0	0
2	2.0	0
3	3.0	0
4	4.0	0
5	5.0	1
6	6.0	2
7	7.0	1
8	8.0	5
9	9.0	3
10	10.0	0
11	11.0	6
12	12.0	2
13	13.0	6
14	14.0	5
15	15.0	4
16	16.0	7
17	17.0	5
18	18.0	5
19	19.0	5
20	20.0	13
21	21.0	7
22	22.0	13
23	23.0	5
24	24.0	2
25	25.0	8
26	26.0	6
27	27.0	4
28	28.0	9
29	29.0	5
30	30.0	12
31	31.0	5
32	32.0	7
33	33.0	5
34	34.0	11
35	35.0	4
36	36.0	7
37	37.0	12
38	38.0	12
39	39.0	16
40	40.0	7
41	41.0	6
42	42.0	15
43	43.0	5
44	44.0	8
45	45.0	17
46	46.0	16
47	47.0	8
48	48.0	13
49	49.0	13
50	50.0	9
51	51.0	13
52	52.0	17
53	53.0	15
54	54.0	19
55	55.0	14
56	56.0	15
57	57.0	29
58	58.0	29
59	59.0	10
60	60.0	14
61	61.0	31
62	62.0	29
63	63.0	26
64	64.0	26
65	65.0	30
66	66.0	21
67	67.0	21
68	68.0	15
69	69.0	17
70	70.0	20
71	71.0	15
72	72.0	24
73	73.0	18
74	74.0	22
75	75.0	19
76	76.0	20
77	77.0	19
78	78.0	22
79	79.0	29
80	80.0	22
81	81.0	19
82	82.0	16
83	83.0	18
84	84.0	12
85	85.0	18
86	86.0	21
87	87.0	22
88	88.0	21
89	89.0	21
90	90.0	15
91	91.0	19
92	92.0	24
93	93.0	19
94	94.0	18
95	95.0	17
96	96.0	18
97	97.0	18
98	98.0	13
99	99.0	14
100	100.0	15
101	101.0	18
102	102.0	13
103	103.0	14
104	104.0	21
105	105.0	18
106	106.0	17
107	107.0	21
108	108.0	18
109	109.0	17
110	110.0	20
111	111.0	13
112	112.0	13
113	113.0	14
114	114.0	18
115	115.0	9
116	116.0	13
117	117.0	13
118	118.0	17
119	119.0	16
120	120.0	11
121	121.0	12
122	122.0	11
123	123.0	10
124	124.0	11
125	125.0	9
126	126.0	11
127	127.0	19
128	128.0	12
129	129.0	6
130	130.0	8
131	131.0	13
132	132.0	14
133	133.0	18
134	134.0	21
135	135.0	12
136	136.0	15
137	137.0	15
138	138.0	15
139	139.0	4
140	140.0	13
141	141.0	12
142	142.0	20
143	143.0	17
144	144.0	12
145	145.0	11
146	146.0	10
147	147.0	15
148	148.0	8
149	149.0	9
150	150.0	10
151	151.0	9
152	152.0	16
153	153.0	7
154	154.0	13
155	155.0	3
156	156.0	10
157	157.0	5
158	158.0	12
159	159.0	8
160	160.0	8
161	161.0	5
162	162.0	11
163	163.0	7
164	164.0	5
165	165.0	12
166	166.0	9
167	167.0	5
168	168.0	11
169	169.0	7
170	170.0	7
171	171.0	5
172	172.0	8
173	173.0	7
174	174.0	8
175	175.0	6
176	176.0	8
177	177.0	8
178	178.0	9
179	179.0	7
180	180.0	7
181	181.0	3
182	182.0	9
183	183.0	4
184	184.0	11
185	185.0	5
186	186.0	4
187	187.0	3
188	188.0	3
189	189.0	6
190	190.0	6
191	191.0	3
192	192.0	8
193	193.0	7
194	194.0	7
195	195.0	2
196	196.0	11
197	197.0	6
198	198.0	6
199	199.0	3
200	200.0	5
201	201.0	4
202	202.0	6
203	203.0	6
204	204.0	10
205	205.0	5
206	206.0	3
207	207.0	2
208	208.0	2
209	209.0	5
210	210.0	5
211	211.0	5
212	212.0	1
213	213.0	2
214	214.0	3
215	215.0	1
216	216.0	5
217	217.0	5
218	218.0	4
219	219.0	7
220	220.0	3
221	221.0	4
222	222.0	4
223	223.0	2
224	224.0	5
225	225.0	4
226	226.0	5
227	227.0	6
228	228.0	6
229	229.0	2
230	230.0	5
231	231.0	1
232	232.0	4
233	233.0	4
234	234.0	7
235	235.0	4
236	236.0	6
237	237.0	4
238	238.0	3
239	239.0	5
240	240.0	4
241	241.0	2
242	242.0	4
243	243.0	5
244	244.0	4
245	245.0	4
246	246.0	4
247	247.0	3
248	248.0	3
249	249.0	6
250	250.0	3
251	251.0	3
252	252.0	2
253	253.0	4
254	254.0	2
255	255.0	3
256	256.0	4
257	257.0	2
258	258.0	4
259	259.0	3
260	260.0	1
261	261.0	1
262	262.0	2
263	263.0	4
264	264.0	5
265	265.0	2
266	266.0	3
267	267.0	3
268	268.0	1
269	269.0	0
270	270.0	4
271	271.0	2
272	272.0	2
273	273.0	1
274	274.0	5
275	275.0	4
276	276.0	3
277	277.0	2
278	278.0	1
279	279.0	9
280	280.0	2
281	281.0	5
282	282.0	3
283	283.0	4
284	284.0	7
285	285.0	3
286	286.0	1
287	287.0	1
288	288.0	3
289	289.0	3
290	290.0	3
291	291.0	3
292	292.0	4
293	293.0	1
294	294.0	1
295	295.0	5
296	296.0	3
297	297.0	2
298	298.0	4
299	299.0	3
300	300.0	0
301	301.0	0
302	302.0	1
303	303.0	2
304	304.0	3
305	305.0	1
306	306.0	2
307	307.0	3
308	308.0	1
309	309.0	0
310	310.0	0
311	311.0	1
312	312.0	1
313	313.0	0
314	314.0	1
315	315.0	0
316	316.0	1
317	317.0	1
318	318.0	1
319	319.0	0
320	320.0	0
321	321.0	0
322	322.0	2
323	323.0	1
324	324.0	3
325	325.0	3
326	326.0	2
327	327.0	2
328	328.0	1
329	329.0	0
330	330.0	1
331	331.0	2
332	332.0	0
333	333.0	1
334	334.0	1
335	335.0	0
336	336.0	0
337	337.0	2
338	338.0	0
339	339.0	1
340	340.0	1
341	341.0	0
342	342.0	0
343	343.0	1
344	344.0	0
345	345.0	2
346	346.0	1
347	347.0	3
348	348.0	0
349	349.0	2
350	350.0	3
351	351.0	1
352	352.0	1
353	353.0	0
354	354.0	1
355	355.0	2
356	356.0	1
357	357.0	1
358	358.0	1
359	359.0	1
360	360.0	1
361	361.0	0
362	362.0	3
363	363.0	0
364	364.0	4
365	365.0	1
366	366.0	1
367	367.0	2
368	368.0	0
369	369.0	1
370	370.0	1
371	371.0	2
372	372.0	1
373	373.0	0
374	374.0	1
375	375.0	3
376	376.0	3
377	377.0	1
378	378.0	3
379	379.0	5
380	380.0	0
381	381.0	0
382	382.0	0
383	383.0	1
384	384.0	0
385	385.0	1
386	386.0	0
387	387.0	1
388	388.0	1
389	389.0	1
390	390.0	1
391	391.0	1
392	392.0	1
393	393.0	2
394	394.0	0
395	395.0	3
396	396.0	1
397	397.0	0
398	398.0	2
399	399.0	1
400	400.0	0
401	401.0	1
402	402.0	1
403	403.0	1
404	404.0	1
405	405.0	0
406	406.0	0
407	407.0	0
408	408.0	3
409	409.0	4
410	410.0	2
411	411.0	1
412	412.0	0
413	413.0	0
414	414.0	2
415	415.0	0
416	416.0	0
417	417.0	1
418	418.0	1
419	419.0	0
420	420.0	0
421	421.0	1
422	422.0	1
423	423.0	1
424	424.0	2
425	425.0	2
426	426.0	1
427	427.0	0
428	428.0	1
429	429.0	1
430	430.0	1
431	431.0	0
432	432.0	0
433	433.0	1
434	434.0	2
435	435.0	0
436	436.0	0
437	437.0	0
438	438.0	1
439	439.0	2
440	440.0	1
441	441.0	3
442	442.0	0
443	443.0	1
444	444.0	0
445	445.0	1
446	446.0	0
447	447.0	0
448	448.0	0
449	449.0	1
450	450.0	2
451	451.0	0
452	452.0	0
453	453.0	1
454	454.0	2
455	455.0	0
456	456.0	2
457	457.0	0
458	458.0	2
459	459.0	0
460	460.0	3
461	461.0	3
462	462.0	0
463	463.0	1
464	464.0	0
465	465.0	2
466	466.0	1
467	467.0	0
468	468.0	1
469	469.0	2
470	470.0	0
471	471.0	1
472	472.0	0
473	473.0	1
474	474.0	2
475	475.0	1
476	476.0	0
477	477.0	1
478	478.0	0
479	479.0	2
480	480.0	1
481	481.0	0
482	482.0	3
483	483.0	3
484	484.0	0
485	485.0	0
486	486.0	0
487	487.0	0
488	488.0	0
489	489.0	0
490	490.0	2
491	491.0	0
492	492.0	0
493	493.0	0
494	494.0	0
495	495.0	0
496	496.0	0
497	497.0	0
498	498.0	0
499	499.0	1
500	500.0	3
501	501.0	0
502	502.0	0
503	503.0	0
504	504.0	0
505	505.0	0
506	506.0	0
507	507.0	1
508	508.0	1
509	509.0	0
510	510.0	2
511	511.0	0
512	512.0	2
513	513.0	0
514	514.0	0
515	515.0	1
516	516.0	1
517	517.0	1
518	518.0	0
519	519.0	0
520	520.0	0
521	521.0	1
522	522.0	0
523	523.0	1
524	524.0	1
525	525.0	2
526	526.0	0
527	527.0	2
528	528.0	1
529	529.0	2
530	530.0	1
531	531.0	1
532	532.0	0
533	533.0	1
534	534.0	0
535	535.0	0
536	536.0	2
537	537.0	2
538	538.0	1
539	539.0	1
540	540.0	0
541	541.0	0
542	542.0	0
543	543.0	1
544	544.0	0
545	545.0	0
546	546.0	1
547	547.0	1
548	548.0	0
549	549.0	2
550	550.0	2
551	551.0	0
552	552.0	0
553	553.0	1
554	554.0	1
555	555.0	1
556	556.0	0
557	557.0	0
558	558.0	0
559	559.0	1
560	560.0	0
561	561.0	0
562	562.0	0
563	563.0	0
564	564.0	1
565	565.0	1
566	566.0	1
567	567.0	2
568	568.0	1
569	569.0	0
570	570.0	2
571	571.0	0
572	572.0	0
573	573.0	0
574	574.0	1
575	575.0	0
576	576.0	1
577	577.0	0
578	578.0	0
579	579.0	2
580	580.0	0
581	581.0	0
582	582.0	1
583	583.0	2
584	584.0	0
585	585.0	2
586	586.0	0
587	587.0	0
588	588.0	0
589	589.0	0
590	590.0	1
591	591.0	0
592	592.0	0
593	593.0	1
594	594.0	0
595	595.0	0
596	596.0	0
