Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	178.36
Elapsed Live Time:	178.0
Start Time:	October 08, 2021, 04:00:52
End Time:	October 08, 2021, 04:03:51
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	131	174	4306	675	8	151
3	37	37	72	72	0	0
4	483	557	6191	5365	36	516
5	11	35	3178	2027	6	23

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		10
6		14
7		30
8		22
9		42
10		46
11		43
12		35
13		52
14		66
15		63
16		64
17		70
18		83
19		84
20		123
21		185
22		312
23		347
24		346
25		303
26		218
27		175
28		124
29		98
30		87
31		64
32		67
33		71
34		44
35		54
36		58
37		72
38		61
39		77
40		55
41		56
42		71
43		88
44		72
45		74
46		77
47		95
48		66
49		64
50		77
51		72
52		103
53		100
54		72
55		90
56		103
57		93
58		89
59		100
60		105
61		99
62		95
63		110
64		110
65		105
66		111
67		118
68		124
69		103
70		128
71		104
72		86
73		111
74		106
75		100
76		108
77		95
78		115
79		128
80		107
81		107
82		127
83		93
84		114
85		114
86		107
87		113
88		108
89		95
90		90
91		103
92		110
93		119
94		107
95		114
96		118
97		91
98		93
99		103
100		103
101		93
102		108
103		101
104		94
105		122
106		114
107		107
108		108
109		105
110		102
111		102
112		91
113		116
114		97
115		95
116		104
117		85
118		99
119		105
120		92
121		118
122		103
123		72
124		85
125		97
126		89
127		87
128		85
129		96
130		97
131		84
132		95
133		108
134		80
135		68
136		102
137		101
138		98
139		88
140		93
141		99
142		89
143		103
144		105
145		96
146		114
147		125
148		126
149		114
150		117
151		130
152		146
153		93
154		104
155		121
156		108
157		122
158		112
159		99
160		107
161		96
162		96
163		102
164		105
165		96
166		78
167		73
168		88
169		63
170		63
171		73
172		76
173		82
174		68
175		74
176		78
177		60
178		53
179		69
180		52
181		70
182		56
183		62
184		62
185		61
186		55
187		71
188		51
189		63
190		59
191		49
192		50
193		55
194		63
195		46
196		53
197		64
198		66
199		62
200		46
201		51
202		55
203		54
204		62
205		52
206		59
207		50
208		38
209		53
210		59
211		52
212		65
213		52
214		65
215		59
216		58
217		56
218		50
219		50
220		49
221		44
222		55
223		52
224		59
225		49
226		39
227		42
228		55
229		52
230		43
231		55
232		48
233		52
234		45
235		49
236		44
237		56
238		55
239		40
240		43
241		40
242		46
243		46
244		47
245		52
246		39
247		45
248		45
249		40
250		49
251		55
252		61
253		38
254		45
255		49
256		43
257		33
258		38
259		38
260		44
261		59
262		38
263		45
264		38
265		29
266		27
267		32
268		32
269		41
270		34
271		32
272		52
273		49
274		35
275		48
276		40
277		31
278		37
279		37
280		45
281		40
282		28
283		33
284		37
285		36
286		44
287		41
288		43
289		29
290		31
291		34
292		31
293		35
294		28
295		35
296		39
297		25
298		37
299		34
300		42
301		40
302		36
303		34
304		28
305		43
306		38
307		31
308		25
309		38
310		36
311		29
312		44
313		39
314		29
315		45
316		49
317		25
318		33
319		43
320		45
321		42
322		37
323		39
324		41
325		28
326		35
327		39
328		32
329		42
330		39
331		38
332		43
333		35
334		25
335		30
336		38
337		26
338		37
339		34
340		36
341		33
342		42
343		38
344		39
345		30
346		28
347		38
348		37
349		31
350		37
351		42
352		32
353		38
354		29
355		37
356		31
357		40
358		26
359		31
360		28
361		40
362		28
363		35
364		29
365		26
366		24
367		31
368		28
369		33
370		24
371		22
372		32
373		19
374		21
375		25
376		22
377		19
378		18
379		21
380		18
381		14
382		16
383		17
384		22
385		18
386		17
387		10
388		15
389		17
390		18
391		18
392		15
393		16
394		14
395		12
396		16
397		13
398		8
399		8
400		7
401		14
402		11
403		11
404		14
405		13
406		15
407		7
408		16
409		8
410		15
411		14
412		9
413		10
414		11
415		11
416		14
417		15
418		12
419		16
420		5
421		11
422		9
423		9
424		12
425		13
426		10
427		9
428		12
429		6
430		5
431		10
432		4
433		7
434		5
435		6
436		7
437		3
438		7
439		8
440		6
441		9
442		9
443		6
444		9
445		5
446		9
447		9
448		4
449		12
450		2
451		7
452		7
453		5
454		3
