Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	178.11
Elapsed Live Time:	178.0
Start Time:	October 08, 2021, 04:13:55
End Time:	October 08, 2021, 04:16:54
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	131	174	1359	16	4	150
3	37	37	30	30	0	0
4	483	557	183	144	7	515
5	11	35	430	79	4	23

Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		1
6		9
7		6
8		6
9		14
10		11
11		12
12		12
13		12
14		20
15		14
16		20
17		12
18		18
19		18
20		18
21		18
22		19
23		17
24		15
25		22
26		16
27		11
28		25
29		17
30		13
31		18
32		20
33		23
34		22
35		18
36		16
37		30
38		27
39		21
40		18
41		33
42		38
43		30
44		34
45		28
46		43
47		36
48		37
49		35
50		43
51		42
52		54
53		44
54		50
55		54
56		50
57		51
58		71
59		58
60		67
61		59
62		67
63		49
64		71
65		66
66		59
67		61
68		67
69		73
70		69
71		49
72		62
73		52
74		74
75		58
76		60
77		55
78		62
79		60
80		57
81		56
82		61
83		59
84		56
85		48
86		62
87		59
88		66
89		63
90		54
91		66
92		61
93		62
94		52
95		48
96		67
97		53
98		40
99		57
100		50
101		49
102		54
103		61
104		53
105		59
106		52
107		71
108		54
109		69
110		41
111		43
112		52
113		54
114		51
115		54
116		50
117		47
118		45
119		51
120		34
121		52
122		52
123		36
124		41
125		35
126		41
127		46
128		38
129		40
130		48
131		53
132		30
133		33
134		28
135		38
136		32
137		38
138		41
139		37
140		27
141		40
142		35
143		24
144		30
145		36
146		24
147		37
148		40
149		37
150		33
151		32
152		40
153		30
154		34
155		29
156		38
157		31
158		39
159		28
160		25
161		30
162		21
163		25
164		22
165		26
166		25
167		28
168		22
169		19
170		28
171		26
172		34
173		14
174		20
175		25
176		11
177		16
178		22
179		17
180		27
181		20
182		21
183		22
184		19
185		25
186		16
187		16
188		16
189		26
190		20
191		22
192		17
193		21
194		20
195		23
196		18
197		11
198		23
199		19
200		13
201		19
202		16
203		16
204		11
205		11
206		14
207		10
208		18
209		25
210		16
211		15
212		5
213		18
214		16
215		21
216		17
217		13
218		21
219		12
220		11
221		11
222		10
223		11
224		17
225		11
226		10
227		8
228		7
229		15
230		13
231		12
232		10
233		13
234		14
235		9
236		12
237		12
238		16
239		10
240		7
241		8
242		7
243		5
244		6
245		13
246		2
247		14
248		13
249		9
250		14
251		6
252		14
253		9
254		11
255		13
256		9
257		3
258		10
259		12
260		10
261		6
262		10
263		11
264		15
265		9
266		10
267		11
268		3
269		12
270		14
271		13
272		11
273		13
274		7
275		7
276		8
277		9
278		6
279		3
280		12
281		10
282		8
283		4
284		5
285		4
286		10
287		9
288		5
289		8
290		9
291		4
292		3
293		7
294		8
295		5
296		14
297		5
298		7
299		5
300		5
301		10
302		5
303		3
304		7
305		6
306		5
307		6
308		5
309		3
310		5
311		1
312		2
313		6
314		5
315		4
316		2
317		3
318		4
319		6
320		5
321		2
322		2
323		6
324		2
325		3
326		3
327		5
328		6
329		7
330		3
331		6
332		7
333		6
334		8
335		4
336		1
337		0
338		2
339		2
340		3
341		6
342		3
343		5
344		4
345		2
346		2
347		2
348		3
349		4
350		8
351		4
352		2
353		7
354		6
355		0
356		1
357		3
358		5
359		4
360		3
361		5
362		5
363		6
364		2
365		1
366		3
367		1
368		2
369		2
370		2
371		2
372		2
373		2
374		4
375		4
376		2
377		3
378		1
379		2
380		1
381		2
382		2
383		3
384		3
385		4
386		4
387		0
388		2
389		3
390		3
391		4
392		4
393		5
394		4
395		2
396		3
397		2
398		2
399		4
400		3
401		4
402		3
403		5
404		2
405		5
406		2
407		3
408		0
409		5
410		2
411		5
412		1
413		2
414		1
415		4
416		4
417		1
418		4
419		3
420		1
421		1
422		3
423		1
424		0
425		1
426		4
427		0
428		4
429		4
430		2
431		2
432		1
433		1
434		2
435		0
436		2
437		3
438		1
439		1
440		0
441		2
442		1
443		3
444		2
445		0
446		2
447		0
448		5
449		6
450		1
451		1
452		2
453		3
454		3
455		4
