Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	120.53
Elapsed Live Time:	120.0
Start Time:	October 08, 2021, 05:02:36
End Time:	October 08, 2021, 05:04:36
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	115	160	7185	1542	19	137
2	368	442	11577	9888	30	403
3	923	1022	2112	1911	33	969

Channel Data:
Channel	Energy	Counts
0		0
1		1
2		0
3		0
4		2
5		15
6		28
7		31
8		40
9		49
10		40
11		62
12		55
13		61
14		54
15		67
16		76
17		91
18		94
19		78
20		74
21		87
22		86
23		76
24		72
25		78
26		67
27		72
28		86
29		70
30		88
31		85
32		78
33		79
34		68
35		94
36		82
37		103
38		88
39		80
40		81
41		95
42		99
43		112
44		88
45		105
46		84
47		106
48		114
49		112
50		119
51		100
52		121
53		113
54		132
55		109
56		113
57		128
58		128
59		121
60		133
61		122
62		128
63		118
64		121
65		120
66		123
67		139
68		130
69		142
70		167
71		108
72		141
73		118
74		143
75		127
76		170
77		129
78		120
79		151
80		113
81		127
82		129
83		146
84		118
85		149
86		134
87		148
88		152
89		154
90		150
91		153
92		141
93		165
94		148
95		125
96		139
97		142
98		146
99		149
100		123
101		138
102		122
103		126
104		153
105		131
106		136
107		120
108		142
109		127
110		135
111		140
112		148
113		139
114		160
115		125
116		130
117		142
118		146
119		143
120		132
121		151
122		128
123		154
124		148
125		156
126		126
127		151
128		141
129		129
130		161
131		161
132		179
133		186
134		184
135		213
136		184
137		185
138		184
139		182
140		216
141		181
142		201
143		209
144		180
145		169
146		166
147		205
148		174
149		195
150		147
151		139
152		130
153		136
154		120
155		145
156		106
157		130
158		111
159		80
160		124
161		121
162		122
163		118
164		109
165		102
166		119
167		91
168		110
169		120
170		118
171		123
172		108
173		121
174		107
175		116
176		93
177		131
178		108
179		88
180		95
181		98
182		119
183		112
184		114
185		108
186		116
187		120
188		109
189		128
190		108
191		100
192		107
193		88
194		103
195		112
196		92
197		95
198		95
199		84
200		99
201		101
202		90
203		92
204		100
205		90
206		76
207		96
208		86
209		84
210		82
211		79
212		89
213		102
214		76
215		80
216		86
217		84
218		91
219		74
220		81
221		74
222		65
223		90
224		74
225		77
226		83
227		87
228		74
229		75
230		78
231		88
232		81
233		91
234		62
235		90
236		80
237		99
238		68
239		64
240		77
241		73
242		77
243		65
244		70
245		78
246		59
247		71
248		83
249		63
250		67
251		62
252		64
253		72
254		80
255		57
256		87
257		61
258		60
259		77
260		61
261		53
262		69
263		56
264		57
265		57
266		47
267		43
268		42
269		46
270		50
271		41
272		43
273		49
274		45
275		36
276		38
277		32
278		38
279		32
280		41
281		46
282		46
283		34
284		41
285		33
286		40
287		28
288		38
289		37
290		25
291		27
292		20
293		34
294		28
295		32
296		19
297		34
298		18
299		33
300		35
301		27
302		22
303		18
304		28
305		32
306		23
307		27
308		28
309		25
310		28
311		23
312		25
313		42
314		32
315		25
316		25
317		23
318		29
319		23
320		29
321		14
322		31
323		31
324		20
325		23
326		26
327		17
328		26
329		27
330		24
331		24
332		12
333		21
334		20
335		23
336		22
337		26
338		25
339		33
340		23
341		24
342		22
343		27
344		30
345		29
346		27
347		24
348		17
349		16
350		26
351		27
352		24
353		17
354		18
355		24
356		23
357		19
358		21
359		29
360		24
361		18
362		17
363		23
364		28
365		26
366		19
367		34
368		34
369		31
370		39
371		42
372		49
373		39
374		57
375		51
376		67
377		61
378		79
379		79
380		62
381		100
382		89
383		89
384		118
385		154
386		157
387		149
388		181
389		175
390		193
391		208
392		234
393		257
394		215
395		239
396		285
397		291
398		290
399		327
400		302
401		346
402		349
403		339
404		335
405		314
406		317
407		318
408		297
409		340
410		293
411		270
412		300
413		261
414		250
415		263
416		203
417		208
418		200
419		177
420		177
421		143
422		137
423		104
424		136
425		93
426		88
427		92
428		76
429		51
430		43
431		45
432		59
433		33
434		23
435		28
436		21
437		27
438		15
439		25
440		15
441		16
442		7
443		16
444		10
445		17
446		13
447		6
448		10
449		15
450		14
451		14
452		9
453		10
454		10
455		5
456		10
457		12
458		7
459		10
460		7
461		11
462		11
463		9
464		10
465		7
466		9
467		10
468		15
469		10
470		13
471		13
472		12
473		6
474		9
475		13
476		16
477		11
478		8
479		7
480		17
481		10
482		15
483		13
484		15
485		13
486		12
487		11
488		14
489		11
490		11
491		12
492		14
493		8
494		13
495		14
496		11
497		11
498		17
499		11
500		22
501		12
502		10
503		10
504		14
505		6
506		8
507		14
508		16
509		15
510		11
511		16
512		18
513		5
514		16
515		10
516		17
517		11
518		19
519		12
520		17
521		10
522		13
523		13
524		12
525		12
526		14
527		7
528		12
529		10
530		9
531		12
532		16
533		11
534		11
535		8
536		11
537		11
538		17
539		14
540		5
541		13
542		14
543		7
544		11
545		6
546		12
547		13
548		20
549		12
550		10
551		10
552		8
553		12
554		12
555		13
556		8
557		16
558		16
559		11
560		12
561		8
562		12
563		10
564		10
565		10
566		12
567		12
568		5
569		10
570		7
571		10
572		6
573		13
574		14
575		12
576		7
577		12
578		7
579		9
580		11
581		9
582		6
583		15
584		12
585		11
586		10
587		13
588		13
589		11
590		10
591		12
592		12
593		9
594		11
595		11
596		5
597		8
598		12
599		17
600		6
601		14
602		9
603		13
604		15
605		11
606		12
607		12
608		10
609		10
610		10
611		9
612		6
613		11
614		10
615		8
616		9
617		6
618		11
619		13
620		12
621		13
622		7
623		11
624		11
625		8
626		9
627		13
628		7
629		13
630		14
631		14
632		11
633		8
634		10
635		10
636		5
637		9
638		9
639		7
640		6
641		16
642		11
643		12
644		9
645		8
646		11
647		13
648		11
649		19
650		14
651		12
652		13
653		11
654		13
655		9
656		11
657		10
658		10
659		10
660		14
661		9
662		16
663		7
664		17
665		10
666		10
667		11
668		16
669		11
670		9
671		16
672		12
673		7
674		8
675		14
676		16
677		7
678		14
679		8
680		18
681		7
682		9
683		13
684		17
685		17
686		12
687		9
688		10
689		17
690		14
691		12
692		9
693		20
694		15
695		10
696		15
697		13
698		12
699		14
700		14
701		10
702		19
703		7
704		20
705		9
706		12
707		13
708		14
709		9
710		9
711		11
712		16
713		13
714		29
715		9
716		12
717		18
718		11
719		18
720		11
721		17
722		17
723		9
724		12
725		13
726		14
727		20
728		15
729		12
730		8
731		9
732		16
733		19
734		19
735		14
736		20
737		13
738		19
739		10
740		13
741		10
742		17
743		3
744		16
745		14
746		17
747		19
748		15
749		12
750		16
751		12
752		13
753		16
754		16
755		16
756		17
757		22
758		16
759		7
760		6
761		11
762		16
763		10
764		11
765		10
766		18
767		16
768		15
769		14
770		23
771		14
772		21
773		16
774		20
775		5
776		20
777		11
778		5
779		16
780		14
781		13
782		11
783		12
784		15
785		14
786		4
787		12
788		14
789		15
790		14
791		14
792		14
793		8
794		10
795		12
796		4
797		11
798		17
799		4
800		13
801		15
802		11
803		16
804		8
805		11
806		11
807		7
808		7
809		8
810		8
811		3
812		7
813		8
814		6
815		5
816		9
817		11
818		6
819		8
820		12
821		8
822		2
823		7
824		4
825		4
826		3
827		5
828		8
829		3
830		7
831		0
832		5
833		4
834		4
835		4
836		2
837		8
838		1
839		6
840		4
841		1
842		9
843		5
844		3
845		2
846		4
847		1
848		4
849		4
850		2
851		2
852		1
853		5
854		4
855		1
856		1
857		2
858		2
859		2
860		3
861		2
862		2
863		2
864		5
865		2
866		2
867		1
868		2
869		1
870		2
871		2
872		2
873		3
874		0
875		3
876		1
877		1
878		1
879		1
880		2
881		1
882		0
883		2
884		2
885		1
886		1
887		1
888		0
889		3
890		2
891		4
892		1
893		1
894		3
895		1
896		1
897		0
898		1
899		0
900		3
901		0
902		2
903		2
904		1
905		0
906		2
907		3
908		1
909		1
910		2
911		1
912		1
913		2
914		3
915		0
916		2
917		3
918		2
919		2
920		4
921		2
922		6
923		7
924		2
925		2
926		8
927		7
928		12
929		8
930		4
931		7
932		9
933		12
934		4
935		8
936		16
937		14
938		16
939		16
940		14
941		14
942		20
943		14
944		15
945		15
946		23
947		24
948		25
949		24
950		28
951		27
952		34
953		33
954		27
955		34
956		31
957		38
958		39
959		24
960		30
961		38
962		38
963		29
964		35
965		42
966		38
967		47
968		59
969		39
970		40
971		34
972		36
973		41
974		40
975		38
976		37
977		48
978		46
979		33
980		36
981		45
982		43
983		35
984		29
985		31
986		32
987		26
988		26
989		27
990		32
991		28
992		18
993		19
994		19
995		17
996		16
997		16
998		21
999		10
1000		11
