Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		199
13		281
14		278
15		243
16		262
17		280
18		269
19		253
20		239
21		273
22		233
23		247
24		240
25		210
26		225
27		215
28		218
29		207
30		213
31		200
32		203
33		179
34		190
35		195
36		208
37		184
38		221
39		204
40		200
41		191
42		169
43		191
44		179
45		181
46		189
47		153
48		159
49		164
50		167
51		148
52		156
53		166
54		173
55		165
56		146
57		151
58		148
59		148
60		152
61		145
62		122
63		132
64		112
65		121
66		139
67		137
68		115
69		105
70		141
71		122
72		133
73		122
74		128
75		115
76		105
77		107
78		106
79		106
80		100
81		115
82		81
83		91
84		100
85		99
86		99
87		88
88		108
89		89
90		81
91		82
92		83
93		83
94		88
95		72
96		79
97		85
98		82
99		91
100		68
101		81
102		69
103		83
104		80
105		72
106		66
107		73
108		77
109		73
110		77
111		66
112		61
113		66
114		67
115		54
116		59
117		66
118		67
119		60
120		61
121		67
122		66
123		77
124		64
125		69
126		48
127		47
128		55
129		57
130		68
131		58
132		54
133		44
134		54
135		59
136		43
137		40
138		50
139		45
140		42
141		38
142		41
143		39
144		40
145		34
146		37
147		46
148		58
149		29
150		43
151		38
152		41
153		28
154		39
155		48
156		39
157		41
158		38
159		47
160		45
161		30
162		37
163		36
164		26
165		40
166		24
167		42
168		34
169		19
170		36
171		36
172		34
173		32
174		30
175		24
176		28
177		22
178		32
179		24
180		30
181		28
182		35
183		22
184		26
185		25
186		22
187		22
188		30
189		25
190		20
191		17
192		31
193		34
194		26
195		25
196		19
197		18
198		21
199		21
200		18
201		21
202		19
203		11
204		15
205		18
206		21
207		17
208		16
209		23
210		18
211		21
212		17
213		20
214		18
215		25
216		11
217		14
218		19
219		18
220		14
221		10
222		13
223		16
224		18
225		23
226		10
227		15
228		17
229		9
230		16
231		12
232		25
233		12
234		16
235		16
236		15
237		12
238		10
239		9
240		15
241		16
242		22
243		19
244		15
245		11
246		15
247		10
248		14
249		14
250		8
251		15
252		16
253		13
254		13
255		12
256		10
257		10
258		5
259		14
260		9
261		4
262		12
263		8
264		14
265		6
266		15
267		9
268		13
269		11
270		12
271		8
272		10
273		11
274		5
275		10
276		8
277		12
278		8
279		13
280		9
281		8
282		8
283		8
284		14
285		4
286		13
287		8
288		10
289		11
290		6
291		10
292		4
293		8
294		9
295		14
296		7
297		11
298		9
299		10
300		7
301		9
302		6
303		7
304		6
305		10
306		4
307		9
308		5
309		7
310		13
311		8
312		7
313		6
314		6
315		3
316		13
317		7
318		8
319		10
320		9
321		8
322		7
323		7
324		5
325		10
326		6
327		8
328		7
329		9
330		6
331		8
332		3
333		5
334		8
335		11
336		4
337		13
338		8
339		4
340		5
341		11
342		5
343		2
344		5
345		3
346		6
347		3
348		5
349		7
350		8
351		4
352		9
353		7
354		9
355		4
356		4
357		8
358		4
359		4
360		6
361		7
362		8
363		6
364		7
365		7
366		4
367		8
368		6
369		7
370		5
371		6
372		6
373		7
374		5
375		7
376		9
377		2
378		3
379		6
380		5
381		7
382		4
383		9
384		9
385		2
386		8
387		9
388		4
389		4
390		5
391		2
392		7
393		5
394		6
395		6
396		1
397		3
398		5
399		3
400		5
401		7
402		5
403		3
404		0
405		5
406		5
407		4
408		7
409		6
410		4
411		8
412		10
413		7
414		5
415		2
416		4
417		4
418		3
419		3
420		8
421		5
422		4
423		7
424		1
425		10
426		6
427		6
428		3
429		4
430		3
431		2
432		4
433		7
434		3
435		2
436		4
437		4
438		5
439		4
440		2
441		0
442		4
443		3
444		5
445		5
446		6
447		8
448		4
449		1
450		4
451		5
452		4
453		5
454		6
455		2
456		1
457		7
458		6
459		3
460		4
461		7
462		6
463		5
464		2
465		4
466		2
467		7
468		3
469		7
470		5
471		9
472		1
473		8
474		9
475		2
476		4
477		9
478		2
479		4
480		6
481		4
482		4
483		6
484		5
485		3
486		7
487		2
488		4
489		6
490		4
491		2
492		10
493		3
494		3
495		8
496		6
497		8
498		6
499		5
500		10
501		5
502		4
503		5
504		4
505		3
506		4
507		2
508		4
509		6
510		6
511		6
